Entrada Insercao-Tempo Insercao-Rotacoes Remocao-Tempo Remocao-Rotacao Entrada-Busca Busca-Tempo
10000 0.002000 9986 0.002000 4988 5000 0.001000
50000 0.008000 49984 0.004000 24985 25000 0.005000
100000 0.014000 99983 0.009000 49984 50000 0.011000
250000 0.034000 249982 0.021000 124983 125000 0.023000
500000 0.070000 499981 0.050000 249982 250000 0.044000
750000 0.112000 749980 0.070000 374982 375000 0.068000
1000000 0.143000 999980 0.094000 499981 500000 0.091000
5000000 0.763000 4999977 0.510000 2499979 2500000 0.488000
10000000 1.581000 9999976 1.057000 4999978 5000000 0.971000
25000000 4.077000 24999975 2.793000 12499977 12500000 2.419000
50000000 8.340000 49999974 5.877000 24999976 25000000 5.016000
100000000 17.363000 99999973 13.241000 49999975 50000000 10.310000
