Entrada Insercao-Tempo Insercao-Rotacoes Remocao-Tempo Remocao-Rotacao Entrada-Busca Busca-Tempo
10000 0.002000 9976 0.000000 4989 5000 0.002000
50000 0.007000 49971 0.005000 24986 25000 0.005000
100000 0.016000 99969 0.010000 49985 50000 0.009000
250000 0.043000 249967 0.026000 124984 125000 0.022000
500000 0.094000 499965 0.051000 249983 250000 0.045000
750000 0.146000 749964 0.078000 374982 375000 0.067000
1000000 0.200000 999963 0.131000 499982 500000 0.089000
5000000 1.119000 4999958 0.581000 2499980 2500000 0.462000
10000000 2.340000 9999956 1.205000 4999979 5000000 0.943000
25000000 6.304000 24999954 3.133000 12499977 12500000 2.426000
50000000 13.521000 49999952 6.723000 24999976 25000000 5.072000
100000000 29.517000 99999950 15.003000 49999975 50000000 11.199000
